id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.CAD.price,quote.CAD.volume_24h,quote.CAD.volume_change_24h,quote.CAD.percent_change_1h,quote.CAD.percent_change_24h,quote.CAD.percent_change_7d,quote.CAD.percent_change_30d,quote.CAD.percent_change_60d,quote.CAD.percent_change_90d,quote.CAD.market_cap,quote.CAD.market_cap_dominance,quote.CAD.fully_diluted_market_cap,quote.CAD.tvl,quote.CAD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11161,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19717796.0,19717796.0,False,,1,,,,2024-06-27T15:04:00.000Z,84440.26216877231,31902872165.090565,-3.8596,-0.72568634,0.00075771,-4.91002017,-9.04494444,-2.99304902,-11.9534759,1664975863630.3704,53.12,1773245505544.2158,,2024-06-27T15:03:05.000Z,,,,,,2024-06-27 11:04:49.652517
1027,Ethereum,ETH,ethereum,9104,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120180875.2351428,120180875.2351428,True,,2,,,,2024-06-27T15:03:00.000Z,4714.461438034759,18196801222.41495,20.1743,-0.6540594,2.06353842,-2.18978636,-10.73648779,3.77748959,-2.72299976,566588101885.3473,18.0785,566588101885.3529,,2024-06-27T15:03:05.000Z,,,,,,2024-06-27 11:04:49.652517
825,Tether USDt,USDT,tether,90246,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112780783337.5052,116076856624.97296,True,,3,,,,2024-06-27T15:03:00.000Z,1.367903856517058,65653478345.276924,4.5341,0.01453661,-0.07877435,-0.06711224,-0.02919358,-0.03978529,-0.10578498,154273268468.38812,4.9223,158781979829.6826,,2024-06-27T15:03:05.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-06-27 11:04:49.652517
1839,BNB,BNB,bnb,2187,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147583381.4492261,147583381.4492261,False,,4,,,,2024-06-27T15:03:00.000Z,792.2084320141155,2305954875.3822384,10.7654,0.12591389,0.8220259,-2.97445355,-3.38928867,-4.51456143,-6.04385923,116916799209.23251,3.7305,116916799209.23692,,2024-06-27T15:03:05.000Z,,,,,,2024-06-27 11:04:49.652517
5426,Solana,SOL,solana,694,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,462359805.4953002,579084686.4836911,True,,5,,,,2024-06-27T15:03:00.000Z,202.29256174367865,3579718266.713231,36.8529,-0.17511017,7.25683387,9.85762015,-12.38624297,3.91182745,-21.56579654,93531949500.95326,2.9844,117144524695.31764,,2024-06-27T15:03:05.000Z,,,,,,2024-06-27 11:04:49.652517
3408,USDC,USDC,usd-coin,20414,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32866184503.876423,32866184503.876423,False,,6,,,,2024-06-27T15:03:00.000Z,1.3690672931966108,7428713718.9021845,5.1118,0.01579265,-0.00659243,-0.00400891,-0.03194035,-0.00295646,-0.01086711,44996018256.422485,1.4357,44996018256.42486,,2024-06-27T15:03:05.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-06-27 11:04:49.652517
52,XRP,XRP,xrp,1345,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55688327582.0,99987490594.0,False,,7,,,,2024-06-27T15:04:00.000Z,0.6464727352245572,1199286087.263884,-0.6514,-0.71846907,0.10553955,-4.57806804,-10.56352136,-9.14760534,-25.74545466,36000985452.01669,1.1487,64647273522.461685,,2024-06-27T15:03:05.000Z,,,,,,2024-06-27 11:04:49.652517
11419,Toncoin,TON,toncoin,442,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2459625673.1477265,5108179089.570425,True,,8,3414166606.0,26142658990.576122,,2024-06-27T15:03:00.000Z,10.483468059520542,368513403.4296278,3.1676,-0.2791243,2.34998045,6.9095037,19.38163216,39.50700073,50.51830845,25785407182.820904,0.8228,53551432327.82092,,2024-06-27T15:03:05.000Z,,,,,,2024-06-27 11:04:49.652517
74,Dogecoin,DOGE,dogecoin,1015,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144883106383.70526,144883106383.70526,True,,9,,,,2024-06-27T15:04:00.000Z,0.1691355969257799,787791926.6549958,-0.6884,-0.95143297,-0.51165502,0.09892778,-24.42216114,-17.71214195,-42.32894061,24504890682.669262,0.7819,24504890682.675766,,2024-06-27T15:03:05.000Z,,,,,,2024-06-27 11:04:49.652517
2010,Cardano,ADA,cardano,1202,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35749050729.208,36994116264.584,False,,10,,,,2024-06-27T15:03:00.000Z,0.5299918222773812,374035989.1088311,16.1293,-0.79024916,-1.44704176,1.07022549,-14.87928898,-17.5154652,-41.59629027,18946704540.659492,0.6044,23849632002.47878,,2024-06-27T15:03:05.000Z,,,,,,2024-06-27 11:04:49.652517
